CLUE,CLAVE JUR,NOMBRE DE LA UNIDAD INTERNA EN NÓMINA,ESTATUS DE OPERACIÓN,,,,NIVEL DE ATENCIÓN,,
CSSSA017492,1,COORDINACION ESTATAL DE VIH/SIDA/ITS CAPASITS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017196,1,LABORATORIO ESTATAL DE SALUD PUBLICA,EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA017213,1,OFICINA ADMINISTRATIVA ESTATAL,EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA018810,1,BANCO DE SANGRE  DR. DOMINGO CHANONA RODRIGUEZ,EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA017324,1,DEPARTAMENTO DE ALMACEN Y DISTRIBUCION,EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA017225,1,OFICINA JURISDICCIONAL No. I (TUXTLA GUTIERREZ),EN OPERACIÓN,NULL,NULL,NULL,NO APLICA,NULL,NULL
CSSSA007605,1,CENTRO DE SALUD URBANO 3 NB ALBANIA (EL VALLE) TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007646,1,CENTRO DE SALUD RURAL 1 NB COPOYA TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007651,1,CENTRO DE SALUD RURAL 1 NB EL JOBO TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007593,1,CENTRO DE SALUD URBANO 3 NB PLAN DE AYALA TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007622,1,CENTRO DE SALUD URBANO 5 NB TERAN TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007610,1,CENTRO DE SALUD URBANO 4 NB PATRIA NUEVA TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007581,1,CENTRO DE SALUD URBANO 3 NB BIENESTAR SOCIAL TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007576,1,CENTRO DE SALUD URBANO 2 NB COL. SANTA CRUZ TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009215,1,CENTRO DE SALUD URBANO 12 NB TUXTLA GUTIERREZ CHIAPAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000050,1,CENTRO DE SALUD RURAL 3 NB ACALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000074,1,CASA DE SALUD LUIS ECHEVERRIA ALVAREZ ACALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000062,1,CASA DE SALUD CRUZ CHIQUITA ACALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009121,1,CENTRO DE SALUD RURAL 1 NB CHIAPILLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000651,1,CENTRO DE SALUD URBANO 3 NB BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000663,1,CASA DE SALUD EFRAIN A. GUTIERREZ BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000675,1,CASA DE SALUD IGNACIO ZARAGOZA BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019930,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB LAS MARAVILLAS BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000680,1,CASA DE SALUD SAN MARTIN BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000692,1,CASA DE SALUD CONGREGACION AMENDU BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000861,1,CENTRO DE SALUD RURAL 1 NB FCO. I. MADERO CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009075,1,CASA DE SALUD EL ROSARIO COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001380,1,CASA DE SALUD LAZARO CARDENAS COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000960,1,CASA DE SALUD BENITO JUAREZ II CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009191,1,CENTRO DE SALUD URBANO 10 NB CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006736,1,CENTRO DE SALUD RURAL 1 NB FRANCISCO I. MADERO TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000885,1,CENTRO DE SALUD RURAL 1 NB NUEVA TENOCHTITLAN CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000873,1,CENTRO DE SALUD RURAL 1 NB LIC. GUSTAVO DIAZ ORDAZ CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000890,1,CENTRO DE SALUD RURAL 1 NB POMPOSO CASTELLANOS CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000914,1,CENTRO DE SALUD RURAL 1 NB VISTAHERMOSA CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000926,1,CASA DE SALUD UNIDAD MODELO CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000943,1,CASA DE SALUD SAN MARCOS CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000955,1,CASA DE SALUD GUAMUCHIL CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000972,1,CENTRO DE SALUD RURAL 1 NB EMILIANO ZAPATA CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001322,1,CENTRO DE SALUD CON HOSPITALIZACION COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012703,1,CENTROS DE SALUD CON SERVICIOS AMPLIADOS COAPILLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000996,1,CASA DE SALUD RIBERA LLANO GRANDE COAPILLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001013,1,CASA DE SALUD JOSE MARIA MORELOS Y PAVON COAPILLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001025,1,CASA DE SALUD MORELIA COAPILLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001334,1,CASA DE SALUD CAMPECHE COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001346,1,CASA DE SALUD FRANCISCO SARABIA COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001351,1,CASA DE SALUD MIGUEL HIDALGO (ZACALAPA) COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001363,1,CASA DE SALUD AGUSTIN DE ITURBIDE COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001375,1,CASA DE SALUD BENITO JUAREZ COPAINALA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001626,1,CENTRO DE SALUD URBANO 5 NB CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001631,1,CENTRO DE SALUD RURAL 1 NB RIBERA EL AMATAL CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002973,1,CENTRO DE SALUD RURAL 1 NB NUEVA PALESTINA JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008684,1,CASA DE SALUD CAHUARE CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001643,1,CASA DE SALUD RIBERA DE CUPIA CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009092,1,CENTRO DE SALUD RURAL 1 NB FRANCISCO SARABIA CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001655,1,CASA DE SALUD JUAN DE GRIJALVA CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001660,1,CASA DE SALUD MIGUEL HIDALGO CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001672,1,CENTRO DE SALUD RURAL 1 NB NARCISO MENDOZA CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009080,1,CENTRO DE SALUD RURAL 1 NB NUEVA PALESTINA CH. DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002862,1,CENTRO DE SALUD RURAL 2 NB IXTAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001696,1,CASA DE SALUD VENUSTIANO CARRANZA CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001701,1,CASA DE SALUD DR. MANUEL VELASCO SUAREZ CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002273,1,CENTRO DE SALUD RURAL 1 NB SAN JOSE MASPAC FCO LEON,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
