id,cr,CLUE
1,700200001,CSSSA017213
1.1,700200002,CSSSA017213
1.2,700200003,CSSSA017213
1.2.1,700200005,CSSSA017213
1.2.2,700200004,CSSSA017213
1.3,700200008,CSSSA017213
1.3.1,700200009,CSSSA017213
1.3.2,700200010,CSSSA017213
1.4,700200007,CSSSA017213
1.5,700200006,CSSSA017213
1.6,700010035,CSSSA017196
2,700210001,CSSSA017213
2.1,700210002,CSSSA017213
2.2,700210004,CSSSA017213
2.3,700210003,CSSSA017213
2.4,700210005,CSSSA017213
2.5,700210006,CSSSA017213
2.6,700210007,CSSSA017213
2.6.1,700210008,CSSSA017213
2.7,700210009,CSSSA017213
2.7.1,700210010,CSSSA017213
2.7.2,700210011,CSSSA017213
3,700250001,CSSSA017213
3.1,700250002,CSSSA017213
3.2,700250003,CSSSA017213
3.2.1,700250004,CSSSA017213
3.2.2,700250005,CSSSA017213
3.2.3,700250006,CSSSA017213
3.3,700250007,CSSSA017213
3.3.1,700250009,CSSSA017213
3.3.2,700250008,CSSSA017213
3.3.3,700250010,CSSSA017213
3.4,700250011,CSSSA017213
3.4.1,700250012,CSSSA017213
3.4.2,700250013,CSSSA017213
3.4.3,700250014,CSSSA017324
4,700240001,CSSSA017213
4.1,700240002,CSSSA017213
4.2,700240007,CSSSA017213
4.2.1,700240008,CSSSA017213
4.2.2,700240009,CSSSA017213
4.2.3,700240010,CSSSA017213
4.3,700240003,CSSSA017213
4.3.1,700240004,CSSSA017213
4.3.2,700240005,CSSSA017213
4.3.3,700240006,CSSSA017213
5,700230001,CSSSA017213
5.1,700230002,CSSSA017213
5.1.1,700230004,CSSSA017213
5.1.2,700230003,CSSSA017213
5.2,700230005,CSSSA017213
5.2.1,700230006,CSSSA017213
5.2.2,700230007,CSSSA017213
6,700260001,CSSSA017213
6.1,700260005,CSSSA017213
6.1.1,700260006,CSSSA017213
6.2,700260002,CSSSA017213
6.2.1,700260003,CSSSA017213
6.2.3,700260004,CSSSA017213
7,700220001,CSSSA017213
7.1,700220002,CSSSA017213
7.1.2,700220004,CSSSA017213
7.2,700220005,CSSSA017213
7.2.1,700220006,CSSSA017213
7.2.2,700220007,CSSSA017213
7.2.3,700220008,CSSSA018810
7.3,700220009,CSSSA017213
7.3.1,700220010,CSSSA017213
7.3.2,700220011,CSSSA017213
7.4,700220012,CSSSA017213
7.4.1,700220013,CSSSA017213
7.4.2,700220014,CSSSA017213
7.4.3,700220015,CSSSA017213
7.4.4,700220016,CSSSA017213
8,701020030,CSSSA009162
