1,ABOGADO NOTARÍA Y ACTUARIA,9
2,AUXILIAR DE ENFERMERÍA,9
3,BACHILLERATO/PREPARATORIA,7
4,CARRERA COMERCIAL,9
5,CIRUJANO DENTISTA/ODONTOLOGO,9
6,CONTADOR TÉCNICO FISCAL AUDITOR,9
7,CORTE Y CONFECCION,9
8,DIETISTA,9
9,DIPLOMADO EN ULTRASONOGRAFIA DIAGNOSTICA GENERAL,4
10,DIPLOMADO EN URGENCIAS CRITICAS,4
11,DOCTORADO EN EDUCACION,6
12,DOCTORADO EN SALUD PUBLICA Y GESTION SANITARIA,6
13,ESPCIALIDA EN GINECOLIGIA,5
14,ESPECIALIDAD EN ADMINISTRACION Y GESTION DE LOS SERVICIOS DE SALUD,5
16,ESPECIALIDAD EN CIRUGIA GENERAL,5
17,ESPECIALIDAD EN CIRUGIA ONCOLOGICA,5
18,ESPECIALIDAD EN CIRUGIA PEDIATRICA,5
19,ESPECIALIDAD EN ENDOCRINOLOGIA,5
20,ESPECIALIDAD EN EPIDEMIOLOGIA,5
21,ESPECIALIDAD EN GINECOLOGIA Y OBSTETRICIA,5
22,ESPECIALIDAD EN MEDICINA GINECOLOGIA ONCOLOGICA,5
23,ESPECIALIDAD EN MEDICINA INTERNA,5
24,ESPECIALIDAD EN MEDICINA NUCLEAR,5
25,ESPECIALIDAD EN ONCOLOGIA,5
26,ESPECIALIDAD EN ONCOLOGIA MEDICA Y RADIOTERAPIA,5
27,ESPECIALIDAD EN ONCOLOGIA PEDIATRICA,5
29,ESPECIALIDAD EN PEDIATRIA,5
30,ESPECIALIDAD EN SALUD PUBLICA,5
31,ESPECIALIDAD EN TRAUMATOLOGIA Y ORTOPEDIA,5
32,ESPECIALIDAD EN URGENCIAS MEDICAS QUIRURGICAS,5
33,ESPECIALIDAD EN UROLOGIA,5
34,ESPECIALISTA EN RADIOLOGIA E IMAGEN,5
35,FUNCIONARIO BANCARIO Y AUDITOR,9
36,INGENIERÍA AGRÓNOMA,1
37,INGENIERÍA AGRÓNOMA EN HORTICULTURA,1
38,INGENIERÍA AGRÓNOMA EN SISTEMAS DE PRODUCCIÓN AGRÍCOLA,1
39,INGENIERÍA AGRÓNOMA FITOTECNISTA,1
40,INGENIERÍA AGRÓNOMA INDUSTRIAL,1
41,INGENIERÍA AGRÓNOMA ZOOTECNISTA,1
42,INGENIERÍA BIOMÉDICA,1
43,INGENIERÍA BIOQUÍMICA,1
44,INGENIERÍA ELECTROMECÁNICA,1
45,INGENIERÍA EN AGROALIMENTOS ,1
46,INGENIERÍA EN ALIMENTOS,1
47,INGENIERÍA EN COMUNICACIONES Y ELECTRÓNICA,1
48,INGENIERÍA EN ENERGÍA,1
49,INGENIERÍA EN INDUSTRIAS ALIMENTARIAS,1
50,INGENIERÍA EN INFORMÁTICA,1
51,INGENIERÍA EN QUÍMICA,1
52,INGENIERÍA EN SISTEMA AGRÍCOLA,1
54,INGENIERÍA EN SISTEMAS AUTOMOTRICES,1
55,INGENIERÍA EN SISTEMAS COMPUTACIONALES,1
56,INGENIERÍA EN TECNOLOGÍAS DE LA INFORMACIÓN,1
57,INGENIERÍA FORESTAL INDUSTRIAL,1
58,INGENIERÍA INDUSTRIAL,1
59,INGENIERÍA INDUSTRIAL EN ELÉCTRICA,1
60,INGENIERÍA MECÁNICA,1
61,INGENIERÍA MECÁNICA AUTOMOTRÍZ ,1
62,INGENIERÍA MECÁNICO ELECTRICISTA,1
63,INGENIERÍA MECATRÓNICA,1
64,INGENIERÍA QUÍMICA AGROINDUSTRIAL,1
65,JARDINERO,2
66,LICENCIATURA ACTUARIO,2
67,LICENCIATURA EN  AGRONOMÍA,2
68,LICENCIATURA EN  BIOLOGÍA MARINA,2
69,LICENCIATURA EN  COMUNICACIÓN HUMANA ,2
70,LICENCIATURA EN  COMUNICACIÓN SOCIAL,2
71,LICENCIATURA EN  DIETÉTICA Y NUTRICIÓN,2
72,LICENCIATURA EN  DISEÑO DE IMAGEN Y RELACIONES PÚBLICAS,2
73,LICENCIATURA EN  DISEÑO DE MODAS,2
74,LICENCIATURA EN  DISEÑO INDUSTRIAL,2
75,LICENCIATURA EN  ECOLOGÍA,2
76,LICENCIATURA EN  ECONOMÍA Y GESTIÓN DE NEGOCIOS,2
77,LICENCIATURA EN  EDUCACIÓN MEDIA EN ESPAÑOL,2
78,LICENCIATURA EN  EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN ESPAÑOL,2
79,LICENCIATURA EN  EDUCACIÓN SECUNDARIA CON ESPECIALIZACION EN QUÍMICA,2
80,LICENCIATURA EN  ESTADISTICAS Y SISTEMAS DE INFORMACIÓN,2
81,LICENCIATURA EN  FINANZAS,2
82,LICENCIATURA EN  GASTRONOMÍA CON FORMACIÓN EN COCINA MEXICANA,2
83,LICENCIATURA EN  GERENCIA SOCIAL,2
84,LICENCIATURA EN  HISTORIA,2
85,LICENCIATURA EN  IMAGENOLOGÍA,2
86,LICENCIATURA EN  INNOVACIONES EDUCATIVAS,2
87,LICENCIATURA EN  LENGUA Y LITERATURA ESPAÑOLA,2
88,LICENCIATURA EN  MUSICA,2
89,LICENCIATURA EN  NUTRICIÓN Y CIENCIAS DE LOS ALIMENTOS,2
90,LICENCIATURA EN  NUTRICIÓN Y DIETETICA,2
91,LICENCIATURA EN  OPTOMETRÍA,2
92,LICENCIATURA EN  PERIODISMO,2
93,LICENCIATURA EN  PERIODISMO Y COMUNICACIÓN,2
94,LICENCIATURA EN  PSICOLOGÍA DEL FACTOR HUMANO,2
95,LICENCIATURA EN  RADIOLOGÍA E IMÁGEN,2
96,LICENCIATURA EN ADMINISTRACIÓN,2
97,LICENCIATURA EN ADMINISTRACIÓN DE ADUANAS,2
98,LICENCIATURA EN ADMINISTRACIÓN DE AGRONEGOCIOS,2
99,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,2
100,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS GASTRONOMICAS,2
101,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS,2
102,LICENCIATURA EN ADMINISTRACIÓN INDUSTRIAL,2
103,LICENCIATURA EN ADMINISTRACIÓN PÚBLICA,2
104,LICENCIATURA EN ADMINISTRACIÓN PÚBLICA Y EMPRESARIAL,2
105,LICENCIATURA EN ADMINISTRACIÓN Y DOCENCIA,2
106,LICENCIATURA EN AGRONEGOCIOS,2
107,LICENCIATURA EN ALIMENTOS,2
108,LICENCIATURA EN ANTROPOLOGÍA,2
109,LICENCIATURA EN ANTROPOLOGÌA SOCIAL,2
110,LICENCIATURA EN ARQUITECTURA,2
111,LICENCIATURA EN ARTES CULINARIAS,2
112,LICENCIATURA EN ARTISTICA,2
113,LICENCIATURA EN BIBLIOTECOLOGÍA,2
114,LICENCIATURA EN BIOLOGÍA,2
115,LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN,2
116,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN,2
117,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON TERMINAL EN CIENCIAS SOCIALES,2
118,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON TERMINAL EN FÍSICO MATEMÁTICAS,2
119,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON TERMINAL EN PSICOLOGÍA EDUCATIVA,2
120,LICENCIATURA EN CIENCIAS DE LA INFORMÁTICA,2
121,LICENCIATURA EN CIENCIAS NATURALES,2
122,LICENCIATURA EN CIENCIAS POLITICAS,2
123,LICENCIATURA EN CIENCIAS POLÍTICAS Y ADMINISTRACIÓN PÚBLICA,2
124,LICENCIATURA EN CIENCIAS QUIMICAS,2
125,LICENCIATURA EN COMERCIALIZACIÓN,2
126,LICENCIATURA EN COMERCIO EXTERIOR Y ADUANAS,2
127,LICENCIATURA EN COMERCIO INTERNACIONAL,2
128,LICENCIATURA EN COMPUTACIÓN,2
129,LICENCIATURA EN COMPUTACIÓN Y PROCESAMIENTO DE DATOS,2
130,LICENCIATURA EN COMUNICACIÓN GRÁFICA PUBLICITARIA,2
131,LICENCIATURA EN COMUNICACIÓN INTERCULTURAL,2
132,LICENCIATURA EN COMUNICACIÓN PUBLICITARIA,2
133,LICENCIATURA EN COMUNICACIONES,2
134,LICENCIATURA EN COMUNICACIONES Y ELECTRÓNICA,2
136,LICENCIATURA EN CONTADURÍA E INFORMÁTICA,2
137,LICENCIATURA EN CONTADURÍA PÚBLICA,2
138,LICENCIATURA EN CONTADURÍA PÚBLICA Y AUDITORA ,2
139,LICENCIATURA EN CONTADURÍA PÚBLICA Y FINANZAS,2
140,LICENCIATURA EN CRIMINOLOGÍA,2
141,LICENCIATURA EN DERECHO,2
142,LICENCIATURA EN DESARROLLO HUMANO,2
143,LICENCIATURA EN DESARROLLO SUSTENTABLE,2
144,LICENCIATURA EN DISEÑO GRÁFICO,2
145,LICENCIATURA EN DISEÑO INDUSTRIAL,2
146,LICENCIATURA EN DOCENCIA TECNOLOGICA,2
147,LICENCIATURA EN ECOLOGÍA MARINA,2
148,LICENCIATURA EN ECONOMÍA,2
149,LICENCIATURA EN EDUCACIÓN,2
150,LICENCIATURA EN EDUCACIÓN ESPECIAL,2
151,LICENCIATURA EN EDUCACION ESPECIAL AREA MOTRIZ ,2
152,LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA DE AUDICIÓN Y LENGUAJE,2
153,LICENCIATURA EN EDUCACIÓN ESPECIAL EN EL ÁREA INTELECTUAL,2
154,LICENCIATURA EN EDUCACIÓN FÍSICA,2
155,LICENCIATURA EN EDUCACIÓN MEDIA Y SUPERIOR,2
156,LICENCIATURA EN EDUCACIÓN PREESCOLAR,2
157,LICENCIATURA EN EDUCACIÓN PRIMARIA,2
158,LICENCIATURA EN ENFERMERÍA,2
159,LICENCIATURA EN ENFERMERÍA/INGENIERÍA QUÍMICA,2
160,LICENCIATURA EN ENOGASTRONOMÍA,2
161,LICENCIATURA EN ENSEÑANZA EN LENGUAJE,2
162,LICENCIATURA EN ENTRENAMIENTO DEPORTIVO,2
163,LICENCIATURA EN ESTADÍSTICA,2
164,LICENCIATURA EN FILOSOFÍA,2
165,LICENCIATURA EN FINANZAS Y BANCO,2
166,LICENCIATURA EN FÍSICA NUCLEAR,2
167,LICENCIATURA EN FISIOTERAPIA,2
168,LICENCIATURA EN GASTRONOMÍA,2
169,LICENCIATURA EN GESTIÓN TURÍSTICA,2
170,LICENCIATURA EN GESTIÓN Y PROMOCIÓN DE LAS ARTES,2
171,LICENCIATURA EN HOMEOPATÍA,2
172,LICENCIATURA EN HOTELERÍA,2
173,LICENCIATURA EN IDIOMAS,2
174,LICENCIATURA EN INFORMÁTICA,2
175,LICENCIATURA EN INFORMÁTICA ADMINISTRATIVA,2
176,LICENCIATURA EN INGENERÍA CÍVIL,2
177,LICENCIATURA EN INGENIERÍA,2
178,LICENCIATURA EN INGENIERÍA AGRÍCOLA Y AGRONEGOCIOS,2
179,LICENCIATURA EN INGENIERÍA AGRÍCOLA Y AMBIENTAL,2
180,LICENCIATURA EN INGENIERÍA AGRÓNOMA ESPECIALISTA EN BOSQUES,2
181,LICENCIATURA EN INGENIERÍA AGRÓNOMA TROPICAL,2
182,LICENCIATURA EN INGENIERÍA AGRONÓMICA EN PRODUCCIÓN VEGETAL,2
183,LICENCIATURA EN INGENIERÍA AGRONÓMICA ESPECIALISTA EN EDAFOLOGÍA,2
184,LICENCIATURA EN INGENIERÍA AMBIENTAL,2
185,LICENCIATURA EN INGENIERÍA CIVIL,2
186,LICENCIATURA EN INGENIERÍA DE LA CONSTRUCCIÓN,2
187,LICENCIATURA EN INGENIERÍA ELÉCTRICA,2
188,LICENCIATURA EN INGENIERÍA EN DESARROLLO COMUNITARIO,2
189,LICENCIATURA EN INGENIERÍA EN DESARROLLO SUSTENTABLE,2
190,LICENCIATURA EN INGENIERÍA EN DISEÑO INDUSTRIAL,2
191,LICENCIATURA EN INGENIERÍA EN GESTIÓN EMPRESARIAL,2
192,LICENCIATURA EN INGENIERÍA EN INNOVACIÓN Y DESARROLLO,2
193,LICENCIATURA EN INGENIERÍA EN NEGOCIOS Y GESTIÓN EMPRESARIAL,2
194,LICENCIATURA EN INGENIERÍA EN PROCESOS BIOALIMENTARIOS,2
195,LICENCIATURA EN INGENIERÍA EN TECNOLOGÍA DE INFORMACIÓN Y TELECOMUNICACIÓN,2
196,LICENCIATURA EN INGENIERÍA EN TECNOLOGÍA DE LA COMUNICACIÓN,2
197,LICENCIATURA EN INGENIERÍA TOPOGRÁFICA,2
198,LICENCIATURA EN INGENIERO AGRÓNOMO EN PRODUCCIÓN ANIMAL,2
199,LICENCIATURA EN INNOVACIONES EDUCATIVAS,2
200,LICENCIATURA EN LENGUA Y LITERATURA HISPANOAMERICANA,2
201,LICENCIATURA EN LENGUAS,2
202,LICENCIATURA EN LETRAS LATINOAMERICANAS,2
203,LICENCIATURA EN LGMIPINES,2
204,LICENCIATURA EN LITERATURA,2
205,LICENCIATURA EN MATERNO INFANTIL,2
206,LICENCIATURA EN MERCADOTECNIA,2
207,LICENCIATURA EN NATUROTERAPIA,2
208,LICENCIATURA EN NEGOCIOS INTERNACIONALES,2
209,LICENCIATURA EN NUTRICIÓN,2
210,LICENCIATURA EN PEDAGOGÍA,2
211,LICENCIATURA EN PERIODISMO Y COMUNICACIÓN COLECTIVA,2
212,LICENCIATURA EN PSICOLOGÍA,2
213,LICENCIATURA EN PSICOLOGÍA CLÍNICA,2
214,LICENCIATURA EN PSICOLOGIA CRIMINALISTICA,2
215,LICENCIATURA EN PSICOLOGÍA DE LA ADOLESCENCIA,2
216,LICENCIATURA EN PSICOLOGÍA DE LA CONDUCTA SOCIAL,2
217,LICENCIATURA EN PSICOLOGÍA EDUCATIVA,2
218,LICENCIATURA EN PSICOLOGÍA ORGANIZACIONAL,2
219,LICENCIATURA EN PSICOLOGÍA SOCIAL,2
220,LICENCIATURA EN PUERICULTURA,2
221,LICENCIATURA EN QUÍMICA CLÍNICA,2
222,LICENCIATURA EN QUÍMICA INDUSTRIAL,2
223,LICENCIATURA EN QUÍMICO BIÓLOGO,2
224,LICENCIATURA EN QUÍMICO BIÓLOGO PARASITÓLOGO,2
225,LICENCIATURA EN QUÍMICO CLÍNICO BIÓLOGO,2
226,LICENCIATURA EN QUÍMICO FARMACOBIÓLOGO,2
227,LICENCIATURA EN RELACIONES COMERCIALES,2
228,LICENCIATURA EN RELACIONES INDUSTRIALES,2
229,LICENCIATURA EN RELACIONES INTERNACIONALES,2
230,LICENCIATURA EN SEGURIDAD ,2
231,LICENCIATURA EN SEGURIDAD A POBLACIONES EN DESASTRES,2
232,LICENCIATURA EN SEGURIDAD DE POBLACIONES HUMANAS ANTE DESASTRES,2
233,LICENCIATURA EN SISTEMAS COMPUTACIONALES,2
234,LICENCIATURA EN SISTEMAS DE COMPUTACIÓN ADMINISTRATIVA,2
235,LICENCIATURA EN SISTEMAS DE INFORMACIÓN ADMINISTRATIVA,2
236,LICENCIATURA EN SOCIOLOGÍA,2
237,LICENCIATURA EN TEOLOGÍA,2
239,LICENCIATURA EN TERAPIA FÍSICA,2
240,LICENCIATURA EN TERAPIA FÍSICA Y REHABILITACIÓN,2
241,LICENCIATURA EN TERÁPIA OCUPACIONAL,2
242,LICENCIATURA EN TRABAJO SOCIAL,2
243,LICENCIATURA EN TURISMO,2
244,MAESTRA EN ADMINISTRACIÓN EN SISTEMAS DE SALUD,3
245,MAESTRA EN DOCENCIA EN CIENCIAS DE LA SALUD,3
246,MAESTRIA,3
247,MAESTRIA EN ADMINISTRACION,3
248,MAESTRIA EN ADMINISTRACION  Y CONTADOR PUBLICO,3
249,MAESTRIA EN ADMINISTRACION DE LOS SERVICIOS DE SALUD,3
251,MAESTRIA EN ADMINISTRACION EN ESTRATEGIAS,3
253,MAESTRIA EN ADMINISTRACION EN SISTEMA DE SALUD,3
257,MAESTRIA EN ADMINISTRACION PUBLICA,3
258,MAESTRIA EN ADMINISTRACION Y GESTION EN SERVICIOS EN SALUD,3
259,MAESTRIA EN CIENCIAS DE LA SALUD,3
260,MAESTRIA EN CIENCIAS DE LA SALUD CON AREA DE CONCENTRACION EN ENFERMEDADES TRASMITIDAS POR VECTOR,3
261,MAESTRIA EN CIENCIAS DE LA SALUD CON FORMACION EN EPIDEMIOLOGIA,3
262,MAESTRIA EN CIENCIAS EN BIOLOGIA CLINICA,3
263,MAESTRIA EN CIENCIAS EN CIENCIAS DE LA VIDA CON ORIENTACION EN BIOTECNOLOGIA MARINA,3
264,MAESTRIA EN CRIMINALISTICA,3
265,MAESTRIA EN DIRECCION DE GOBIERNO Y POLITICAS PUBLICAS,3
266,MAESTRIA EN DOCENCIA EN CIENCIAS DE LA SALUD,3
267,MAESTRIA EN EDUCACION ESPECIAL,3
268,MAESTRIA EN INGENIERÍA INDUSTRIAL,3
269,MAESTRIA EN MERCADOTECNIA,3
270,MAESTRIA EN SALUD PUBLICA EN ENFERMENDADES TRANSMITIDAS POR VECTOR,3
271,MAESTRIA EN SALUD SEXUAL,3
272,MAESTRIA EN SISTEMAS DE SALUD,3
273,MAESTRIA EN TRABAJO SOCIAL,3
274,MAESTRIA EN ULTRASONIDO DIAGNOSTICO,3
277,MÉDICO GENERAL,9
278,MÉDICO HOMEOPATA,9
279,MÉDICO VETERINARIO ZOOTECNISTA,9
280,NEFROLOGIA,9
281,NINGUNA,9
282,POSGRADO ESPECIALIDAD GINECOLOGIA Y OBSTETRICIA,12
283,POSTGRADO EN CLINICA DEL DOLOR,12
284,PRIMARIA,11
285,PSICOTERAPEUTA HUMANISTA,9
286,SALUD CON FORM ACION EN EPIDEMIOLOGIA,9
287,SECUNDARIA,10
288,SIN ESPECIFICAR,9
289,TÉCNICA COMERCIAL,8
290,TÉCNICA EN SOBRECARGO DE AVIACIÓN,8
291,TÉCNICA GENERAL,8
292,TÉCNICO  LABORATORISTA CLÍNICO,8
293,TÉCNICO ADMINISTRATIVO,8
294,TÉCNICO ADMINISTRATIVO COMPUTACIONAL Y MANTENIMIENTO,8
295,TÉCNICO AGRICOLA,8
296,TÉCNICO AGROPECUARIO,8
297,TÉCNICO AMBIENTAL,8
298,TÉCNICO ASISTENTE DIRECTIVO,8
299,TÉCNICO ASISTENTE EJECUTIVO,8
300,TÉCNICO ASISTENTE MÉDICO,8
301,TÉCNICO ASISTENTE MÉDICO COMUNITARIO Y FARMACÉUTICO,8
302,TÉCNICO AUTOMOTRÍZ,8
303,TÉCNICO AUXILIAR CONTABLE,8
304,TÉCNICO AUXILIAR DE EDUCADORA,8
305,TÉCNICO CAPTURISTA DE DATOS,8
306,TÉCNICO CITOTECNÓLOGO,8
307,TÉCNICO ECONÓMICO ADMINISTRATIVO,8
308,TÉCNICO ELECTROMECÁNICO,8
309,TÉCNICO EN ADMINISTRACIÓN,8
310,TÉCNICO EN ADMINISTRACIÓN DE EMPRESAS,8
311,TÉCNICO EN ADMINISTRACIÓN DE PERSONAL,8
312,TÉCNICO EN ADMINISTRACIÓN Y EVALUACIÓN DE PROYECTOS ,8
313,TÉCNICO EN ADUANA ,8
314,TÉCNICO EN ANALISIS CLÍNICOS,8
315,TÉCNICO EN ANÁLISIS Y TECNOLOGÍA DE ALIMENTOS ,8
316,TÉCNICO EN ÁREAS CONTABLES,8
317,TÉCNICO EN ARQUITECTURA,8
318,TÉCNICO EN ATENCIÓN PRIMARIA EN SALUD,8
319,TÉCNICO EN CIENCIAS SOCIALES,8
320,TÉCNICO EN COMBUSTIÓN INTERNA ESPECIALISTA AUTOMOTRÍZ,8
321,TÉCNICO EN COMERCIO,8
322,TÉCNICO EN COMERCIO ESPECIALIZADO EN CONTABILIDAD,8
323,TÉCNICO EN COMPROBACIÓN FISCAL CONTABLE EN EL ÁREA ECONÓMICO ADMINISTRATIVO,8
324,TÉCNICO EN COMPUTACIÓN,8
325,TÉCNICO EN COMPUTACIÓN ADMINISTRATIVA,8
326,TÉCNICO EN COMPUTACIÓN ADMINISTRATIVA Y DISEÑO ,8
327,TÉCNICO EN COMPUTACIÓN ADMINISTRATIVA/LICENCIATURA EN  CONTADURIA PUBLICA,8
328,TÉCNICO EN COMPUTACIÓN FISCAL,8
329,TÉCNICO EN COMPUTACIÓN FISCAL CONTABLE,8
330,TÉCNICO EN COMPUTACIÓN Y PROCESO DE DATOS,8
331,TÉCNICO EN CONSTRUCCIÓN,8
332,TÉCNICO EN CONTABILIDAD,8
333,TÉCNICO EN CONTABILIDAD FINANCIERA Y FISCAL,8
334,TÉCNICO EN CONTABILIDAD Y COMERCIO,8
335,TÉCNICO EN CONTADURÍA PRIVADA,8
336,TÉCNICO EN DISEÑO DE MODAS,8
337,TÉCNICO EN DISEÑO GRÁFICO,8
338,TÉCNICO EN DISEÑO POR COMPUTADORA ,8
339,TÉCNICO EN DISEÑO Y PROGRAMACIÓN WEB,8
340,TÉCNICO EN EL MANEJO DE APARATOS DE ELECTRODIAGNÓSTICOS,8
341,TÉCNICO EN ELECTRÓNICA,8
342,TÉCNICO EN ENFERMERÍA,8
343,TÉCNICO EN ENFERMERÍA BÁSICA,8
344,TÉCNICO EN ENFERMERÍA GENERAL,8
345,TÉCNICO EN ESTADÍSTICA,8
346,TÉCNICO EN ESTADISTICA EN ÁREA MÉDICA,8
347,TÉCNICO EN FRUTICULTURA,8
348,TÉCNICO EN GASTRONOMÍA,8
349,TÉCNICO EN HISTOLOGÍA,8
350,TÉCNICO EN HOTELERÍA Y GASTRONOMÍA,8
351,TÉCNICO EN HUMANIDADES,8
352,TÉCNICO EN IMAGENOLOGÍA,8
353,TÉCNICO EN INFORMÁTICA,8
